DrugID,DrugName,StockLevel,ExpirationDate,Supplier,DrugID_Original,UnitCost,LeadTimeDays
0001-0001-11,Metformin 5 mg solution,151,02/22/28,AmerisourceBergen,0001-0001-11,7.85,7
0002-0002-22,Sertraline 5 mg inhaler,1841,02/15/29,AmerisourceBergen,0002-0002-22,1.32,7
0003-0003-33,Amoxicillin 250 mg inhaler,215,12/12/28,Cardinal,0003-0003-33,2.83,10
0004-0004-44,Warfarin 250 mg capsule,548,06/14/29,Cardinal,0004-0004-44,9.64,4
0005-0005-55,Fluoxetine 250 mg inhaler,757,05/13/27,Cardinal,0005-0005-55,1.56,5
0006-0006-66,Furosemide 5 mg inhaler,2239,02/16/29,AmerisourceBergen,0006-0006-66,17.47,4
0007-0007-77,Amoxicillin 5 mg inhaler,1465,10/11/28,Cardinal,0007-0007-77,5.22,4
0008-0008-88,Atorvastatin 20 mg capsule,1976,10/13/27,Cardinal,0008-0008-88,7.59,3
0009-0009-99,Losartan 50 mg capsule,2270,02/03/29,McKesson,0009-0009-99,9.88,1
0010-0010-10,Clopidogrel 20 mg inhaler,2232,06/04/28,Cardinal,0010-0010-10,10.44,13
0011-0011-21,Metformin 40 mg tablet,1522,08/27/28,AmerisourceBergen,0011-0011-21,0.09,1
0012-0012-32,Tamsulosin 10 mg capsule,884,05/17/29,Cardinal,0012-0012-32,2.85,12
0013-0013-43,Insulin Glargine 100 mg tablet,1009,06/12/28,Cardinal,0013-0013-43,21.58,1
0014-0014-54,Gabapentin 20 mg inhaler,414,08/04/28,McKesson,0014-0014-54,0.08,11
0015-0015-65,Furosemide 5 mg solution,1471,02/21/29,AmerisourceBergen,0015-0015-65,12.73,5
0016-0016-76,Prednisone 100 mg tablet,1462,11/30/28,Cardinal,0016-0016-76,12.26,7
0017-0017-87,Metformin 500 mg tablet,2430,08/10/28,Cardinal,0017-0017-87,8.36,4
0018-0018-98,Atorvastatin 5 mg solution,474,03/29/29,Cardinal,0018-0018-98,10.81,7
0019-0019-09,Insulin Glargine 40 mg solution,1892,04/02/29,Cardinal,0019-0019-09,19.53,6
0020-0020-20,Clopidogrel 250 mg inhaler,665,07/17/28,Cardinal,0020-0020-20,21.04,7
0021-0021-31,Metformin 100 mg capsule,196,04/26/27,Cardinal,0021-0021-31,6.55,6
0022-0022-42,Insulin Glargine 250 mg inhaler,1001,09/24/28,Cardinal,0022-0022-42,8.1,7
0023-0023-53,Atorvastatin 40 mg capsule,2409,11/16/27,McKesson,0023-0023-53,6.1,11
0024-0024-64,Insulin Glargine 20 mg inhaler,1156,06/25/28,Cardinal,0024-0024-64,12.02,6
0025-0025-75,Albuterol 100 mg tablet,464,12/25/27,AmerisourceBergen,0025-0025-75,17.1,5
0026-0026-86,Lisinopril 10 mg tablet,806,11/21/27,AmerisourceBergen,0026-0026-86,5.74,2
0027-0027-97,Insulin Glargine 10 mg tablet,1736,05/27/29,AmerisourceBergen,0027-0027-97,8.3,5
0028-0028-08,Tamsulosin 50 mg capsule,711,09/04/27,AmerisourceBergen,0028-0028-08,23.26,2
0029-0029-19,Tamsulosin 100 mg inhaler,578,06/19/27,McKesson,0029-0029-19,1.26,3
0030-0030-30,Metformin 5 mg tablet,616,08/04/28,Cardinal,0030-0030-30,11.55,13
0031-0031-41,Levothyroxine 50 mg capsule,204,08/13/28,Cardinal,0031-0031-41,17.8,2
0032-0032-52,Levothyroxine 20 mg tablet,1725,06/02/29,Cardinal,0032-0032-52,3.8,7
0033-0033-63,Hydrochlorothiazide 50 mg inhaler,801,03/21/27,AmerisourceBergen,0033-0033-63,1.23,11
0034-0034-74,Atorvastatin 500 mg solution,764,04/07/29,AmerisourceBergen,0034-0034-74,3.5,13
0035-0035-85,Tamsulosin 5 mg inhaler,821,01/30/29,McKesson,0035-0035-85,22.97,2
0036-0036-96,Furosemide 500 mg solution,1735,08/01/27,AmerisourceBergen,0036-0036-96,0.28,3
0037-0037-07,Prednisone 40 mg solution,2185,01/12/29,McKesson,0037-0037-07,4.75,5
0038-0038-18,Amlodipine 250 mg inhaler,1857,02/02/29,Cardinal,0038-0038-18,0.83,8
0039-0039-29,Metformin 40 mg tablet,1419,05/11/27,McKesson,0039-0039-29,2.81,13
0040-0040-40,Warfarin 20 mg inhaler,1785,02/18/27,McKesson,0040-0040-40,15.52,3
0041-0041-51,Gabapentin 250 mg solution,567,08/27/28,Cardinal,0041-0041-51,6.08,3
0042-0042-62,Insulin Glargine 100 mg solution,2286,06/26/28,Cardinal,0042-0042-62,14.25,4
0043-0043-73,Warfarin 10 mg capsule,1531,02/19/29,AmerisourceBergen,0043-0043-73,14.78,12
0044-0044-84,Metformin 100 mg inhaler,2386,04/19/29,AmerisourceBergen,0044-0044-84,21.24,1
0045-0045-95,Metformin 250 mg capsule,669,05/01/27,McKesson,0045-0045-95,0.17,5
0046-0046-06,Metformin 40 mg tablet,367,05/14/29,Cardinal,0046-0046-06,21.34,2
0047-0047-17,Amlodipine 500 mg inhaler,1786,02/11/29,Cardinal,0047-0047-17,15.5,3
0048-0048-28,Lisinopril 100 mg tablet,801,07/08/28,McKesson,0048-0048-28,4.11,12
0049-0049-39,Prednisone 20 mg tablet,519,12/11/27,McKesson,0049-0049-39,19.33,1
0050-0050-50,Albuterol 5 mg solution,1969,08/01/28,AmerisourceBergen,0050-0050-50,21.39,5
0051-0051-61,Clopidogrel 100 mg tablet,1332,06/05/28,McKesson,0051-0051-61,6.39,12
0052-0052-72,Prednisone 10 mg inhaler,1954,01/05/28,McKesson,0052-0052-72,22.97,8
0053-0053-83,Clopidogrel 250 mg capsule,609,04/09/27,McKesson,0053-0053-83,11.39,1
0054-0054-94,Levothyroxine 50 mg tablet,177,10/21/28,AmerisourceBergen,0054-0054-94,15.11,7
0055-0055-05,Gabapentin 40 mg inhaler,1024,10/23/27,AmerisourceBergen,0055-0055-05,24.62,13
0056-0056-16,Prednisone 10 mg solution,2405,09/01/27,Cardinal,0056-0056-16,9.07,6
0057-0057-27,Levothyroxine 100 mg capsule,1464,12/23/27,McKesson,0057-0057-27,20.34,7
0058-0058-38,Lisinopril 10 mg solution,2140,03/01/27,AmerisourceBergen,0058-0058-38,7.99,7
0059-0059-49,Insulin Glargine 40 mg solution,2107,01/06/28,McKesson,0059-0059-49,19.99,9
0060-0060-60,Prednisone 250 mg tablet,2248,01/26/29,AmerisourceBergen,0060-0060-60,15.04,3
0061-0061-71,Clopidogrel 500 mg inhaler,1147,10/28/28,Cardinal,0061-0061-71,5.45,11
0062-0062-82,Warfarin 500 mg capsule,510,03/24/27,AmerisourceBergen,0062-0062-82,10.38,13
0063-0063-93,Atorvastatin 500 mg solution,2249,11/14/27,Cardinal,0063-0063-93,7.98,2
0064-0064-04,Furosemide 50 mg inhaler,1252,08/31/28,AmerisourceBergen,0064-0064-04,2.0,11
0065-0065-15,Prednisone 10 mg solution,800,04/20/29,McKesson,0065-0065-15,0.79,11
0066-0066-26,Insulin Glargine 250 mg solution,1101,02/15/28,Cardinal,0066-0066-26,8.69,10
0067-0067-37,Prednisone 250 mg capsule,1956,06/08/29,AmerisourceBergen,0067-0067-37,0.52,5
0068-0068-48,Prednisone 500 mg tablet,900,03/09/27,Cardinal,0068-0068-48,4.18,7
0069-0069-59,Omeprazole 100 mg capsule,2078,04/02/29,AmerisourceBergen,0069-0069-59,18.14,11
0070-0070-70,Metformin 10 mg inhaler,568,06/19/27,McKesson,0070-0070-70,17.72,2
0071-0071-81,Hydrochlorothiazide 50 mg solution,794,10/26/28,AmerisourceBergen,0071-0071-81,18.48,11
0072-0072-92,Levothyroxine 40 mg capsule,349,04/28/27,AmerisourceBergen,0072-0072-92,7.96,12
0073-0073-03,Atorvastatin 250 mg inhaler,2178,06/09/29,Cardinal,0073-0073-03,22.26,9
0074-0074-14,Atorvastatin 40 mg inhaler,2176,08/05/27,Cardinal,0074-0074-14,14.87,5
0075-0075-25,Insulin Glargine 20 mg inhaler,517,12/17/27,Cardinal,0075-0075-25,3.19,8
0076-0076-36,Amoxicillin 5 mg capsule,1326,08/05/28,AmerisourceBergen,0076-0076-36,3.64,1
0077-0077-47,Amoxicillin 250 mg solution,1978,03/15/27,McKesson,0077-0077-47,17.34,13
0078-0078-58,Fluoxetine 250 mg solution,1502,06/10/28,AmerisourceBergen,0078-0078-58,4.36,5
0079-0079-69,Amoxicillin 5 mg capsule,1613,10/12/27,Cardinal,0079-0079-69,12.71,1
0080-0080-80,Albuterol 40 mg capsule,654,02/11/28,Cardinal,0080-0080-80,24.79,11
0081-0081-91,Lisinopril 40 mg tablet,73,11/16/27,McKesson,0081-0081-91,0.15,9
0082-0082-02,Tamsulosin 40 mg capsule,2337,02/02/29,Cardinal,0082-0082-02,0.46,9
0083-0083-13,Omeprazole 500 mg solution,2282,03/03/28,McKesson,0083-0083-13,24.83,1
0084-0084-24,Amlodipine 10 mg inhaler,2340,11/16/28,McKesson,0084-0084-24,14.64,10
0085-0085-35,Prednisone 20 mg inhaler,107,03/08/27,McKesson,0085-0085-35,3.22,9
0086-0086-46,Fluoxetine 10 mg tablet,1678,09/15/28,AmerisourceBergen,0086-0086-46,22.44,11
0087-0087-57,Lisinopril 10 mg solution,627,12/30/27,McKesson,0087-0087-57,22.02,11
0088-0088-68,Amlodipine 500 mg tablet,801,07/05/28,AmerisourceBergen,0088-0088-68,13.43,3
0089-0089-79,Metformin 500 mg solution,1031,02/05/29,AmerisourceBergen,0089-0089-79,15.56,3
0090-0090-90,Gabapentin 5 mg capsule,582,09/27/28,Cardinal,0090-0090-90,6.87,13
0091-0091-01,Lisinopril 100 mg capsule,1487,12/04/27,McKesson,0091-0091-01,1.31,7
0092-0092-12,Fluoxetine 10 mg solution,1488,08/16/27,McKesson,0092-0092-12,14.88,6
0093-0093-23,Amoxicillin 10 mg capsule,2320,03/12/29,AmerisourceBergen,0093-0093-23,7.4,4
0094-0094-34,Clopidogrel 20 mg inhaler,2082,09/14/27,McKesson,0094-0094-34,16.61,9
0095-0095-45,Fluoxetine 10 mg solution,1755,03/02/27,AmerisourceBergen,0095-0095-45,20.91,10
0096-0096-56,Albuterol 40 mg inhaler,2417,10/17/27,AmerisourceBergen,0096-0096-56,0.5,1
0097-0097-67,Amoxicillin 500 mg solution,1070,02/09/27,AmerisourceBergen,0097-0097-67,14.91,8
0098-0098-78,Lisinopril 50 mg capsule,170,11/05/28,AmerisourceBergen,0098-0098-78,5.82,13
0099-0099-89,Lisinopril 100 mg inhaler,2197,03/14/29,McKesson,0099-0099-89,21.85,4
0100-0100-00,Albuterol 40 mg capsule,835,02/11/28,McKesson,0100-0100-00,6.38,4
0101-0101-11,Metformin 5 mg solution,1115,07/18/28,McKesson,0101-0101-11,15.29,12
0102-0102-22,Metformin 5 mg tablet,977,05/14/29,Cardinal,0102-0102-22,13.86,1
0103-0103-33,Levothyroxine 20 mg tablet,2277,04/14/29,AmerisourceBergen,0103-0103-33,9.93,6
0104-0104-44,Tamsulosin 10 mg solution,922,03/06/27,McKesson,0104-0104-44,16.96,6
0105-0105-55,Hydrochlorothiazide 250 mg tablet,1709,04/01/27,McKesson,0105-0105-55,18.16,11
0106-0106-66,Fluoxetine 250 mg inhaler,1669,12/30/27,McKesson,0106-0106-66,14.2,2
0107-0107-77,Omeprazole 250 mg inhaler,1389,09/30/27,AmerisourceBergen,0107-0107-77,18.97,6
0108-0108-88,Amlodipine 100 mg solution,1368,06/14/27,McKesson,0108-0108-88,24.59,2
0109-0109-99,Losartan 50 mg solution,180,06/11/27,Cardinal,0109-0109-99,10.51,11
0110-0110-10,Lisinopril 100 mg solution,2228,01/10/29,McKesson,0110-0110-10,12.89,9
0111-0111-21,Furosemide 40 mg tablet,833,07/18/27,McKesson,0111-0111-21,0.36,7
0112-0112-32,Amlodipine 100 mg capsule,556,03/23/28,McKesson,0112-0112-32,19.91,6
0113-0113-43,Losartan 250 mg capsule,548,03/11/27,McKesson,0113-0113-43,13.03,2
0114-0114-54,Clopidogrel 250 mg inhaler,998,07/23/28,AmerisourceBergen,0114-0114-54,10.23,12
0115-0115-65,Azithromycin 50 mg tablet,1559,11/05/28,McKesson,0115-0115-65,2.4,9
0116-0116-76,Hydrochlorothiazide 5 mg capsule,1352,07/04/28,McKesson,0116-0116-76,22.25,5
0117-0117-87,Amoxicillin 100 mg capsule,2087,10/05/27,McKesson,0117-0117-87,9.91,6
0118-0118-98,Furosemide 20 mg tablet,2041,04/09/27,AmerisourceBergen,0118-0118-98,17.08,10
0119-0119-09,Gabapentin 100 mg tablet,838,01/14/28,McKesson,0119-0119-09,3.78,10
0120-0120-20,Albuterol 50 mg capsule,2058,12/12/28,AmerisourceBergen,0120-0120-20,24.04,6
0121-0121-31,Tamsulosin 500 mg tablet,1704,05/15/27,AmerisourceBergen,0121-0121-31,4.5,4
0122-0122-42,Azithromycin 20 mg tablet,2148,01/15/29,AmerisourceBergen,0122-0122-42,5.03,9
0123-0123-53,Omeprazole 500 mg capsule,0,04/04/29,McKesson,0123-0123-53,21.48,9
0124-0124-64,Atorvastatin 250 mg tablet,1297,07/12/28,Cardinal,0124-0124-64,22.82,8
0125-0125-75,Levothyroxine 20 mg solution,1563,02/03/29,McKesson,0125-0125-75,5.34,1
0126-0126-86,Warfarin 40 mg tablet,603,10/02/27,Cardinal,0126-0126-86,11.77,7
0127-0127-97,Amoxicillin 50 mg capsule,1638,07/24/28,McKesson,0127-0127-97,18.35,8
0128-0128-08,Sertraline 250 mg capsule,1815,10/21/28,AmerisourceBergen,0128-0128-08,21.97,13
0129-0129-19,Omeprazole 100 mg inhaler,347,10/14/28,McKesson,0129-0129-19,9.51,7
0130-0130-30,Azithromycin 250 mg solution,2386,10/01/28,AmerisourceBergen,0130-0130-30,12.95,5
0131-0131-41,Amoxicillin 20 mg inhaler,2364,07/18/27,Cardinal,0131-0131-41,18.56,8
0132-0132-52,Insulin Glargine 50 mg capsule,713,04/03/29,Cardinal,0132-0132-52,18.29,3
0133-0133-63,Gabapentin 40 mg capsule,499,09/15/28,AmerisourceBergen,0133-0133-63,19.58,2
0134-0134-74,Albuterol 500 mg capsule,495,05/13/27,AmerisourceBergen,0134-0134-74,14.27,9
0135-0135-85,Omeprazole 20 mg inhaler,91,08/09/28,Cardinal,0135-0135-85,2.66,13
0136-0136-96,Warfarin 50 mg inhaler,56,04/01/29,Cardinal,0136-0136-96,22.6,11
0137-0137-07,Amlodipine 5 mg inhaler,780,02/20/27,McKesson,0137-0137-07,21.65,8
0138-0138-18,Atorvastatin 250 mg inhaler,1666,03/12/29,AmerisourceBergen,0138-0138-18,19.96,1
0139-0139-29,Hydrochlorothiazide 40 mg solution,1702,11/14/27,AmerisourceBergen,0139-0139-29,2.54,13
0140-0140-40,Amoxicillin 20 mg solution,1362,10/16/27,McKesson,0140-0140-40,5.15,6
0141-0141-51,Insulin Glargine 50 mg inhaler,1625,03/30/28,AmerisourceBergen,0141-0141-51,18.6,4
0142-0142-62,Omeprazole 40 mg capsule,336,10/15/28,AmerisourceBergen,0142-0142-62,0.63,12
0143-0143-73,Warfarin 250 mg capsule,2487,04/30/27,McKesson,0143-0143-73,24.48,10
0144-0144-84,Hydrochlorothiazide 50 mg inhaler,498,09/17/27,Cardinal,0144-0144-84,9.46,10
0145-0145-95,Atorvastatin 50 mg capsule,917,01/02/29,AmerisourceBergen,0145-0145-95,18.0,4
0146-0146-06,Atorvastatin 5 mg tablet,1655,08/23/27,AmerisourceBergen,0146-0146-06,22.19,13
0147-0147-17,Clopidogrel 5 mg solution,318,12/01/27,Cardinal,0147-0147-17,9.9,6
0148-0148-28,Atorvastatin 40 mg capsule,1090,08/11/28,Cardinal,0148-0148-28,8.01,7
0149-0149-39,Warfarin 500 mg inhaler,2334,09/06/27,Cardinal,0149-0149-39,15.24,10
0150-0150-50,Gabapentin 500 mg inhaler,583,03/15/27,Cardinal,0150-0150-50,14.55,9
0151-0151-61,Lisinopril 100 mg capsule,1549,05/03/28,McKesson,0151-0151-61,10.26,3
0152-0152-72,Sertraline 100 mg solution,1514,04/24/27,AmerisourceBergen,0152-0152-72,15.06,4
0153-0153-83,Albuterol 40 mg inhaler,192,01/02/28,AmerisourceBergen,0153-0153-83,23.39,5
0154-0154-94,Omeprazole 10 mg solution,131,08/27/28,McKesson,0154-0154-94,11.72,13
0155-0155-05,Furosemide 5 mg tablet,365,11/04/28,McKesson,0155-0155-05,4.96,10
0156-0156-16,Albuterol 20 mg solution,40,05/08/29,AmerisourceBergen,0156-0156-16,9.46,5
0157-0157-27,Omeprazole 20 mg solution,1329,02/27/29,AmerisourceBergen,0157-0157-27,9.88,10
0158-0158-38,Albuterol 10 mg solution,652,03/01/27,McKesson,0158-0158-38,3.32,10
0159-0159-49,Clopidogrel 20 mg tablet,1495,03/29/28,AmerisourceBergen,0159-0159-49,4.11,6
0160-0160-60,Omeprazole 5 mg capsule,723,02/19/27,AmerisourceBergen,0160-0160-60,17.13,6
0161-0161-71,Amlodipine 50 mg inhaler,875,12/28/28,Cardinal,0161-0161-71,8.52,12
0162-0162-82,Omeprazole 500 mg tablet,260,04/06/27,McKesson,0162-0162-82,23.87,8
0163-0163-93,Prednisone 100 mg capsule,1988,12/07/28,AmerisourceBergen,0163-0163-93,6.13,2
0164-0164-04,Levothyroxine 40 mg capsule,287,02/01/27,Cardinal,0164-0164-04,2.52,10
0165-0165-15,Warfarin 40 mg tablet,2281,05/07/27,McKesson,0165-0165-15,18.85,8
0166-0166-26,Azithromycin 20 mg tablet,419,04/17/29,Cardinal,0166-0166-26,22.03,7
0167-0167-37,Albuterol 10 mg capsule,2476,07/11/27,AmerisourceBergen,0167-0167-37,6.99,10
0168-0168-48,Sertraline 50 mg inhaler,1811,03/18/28,McKesson,0168-0168-48,5.09,12
0169-0169-59,Warfarin 50 mg tablet,2058,04/27/28,Cardinal,0169-0169-59,4.68,5
0170-0170-70,Metformin 5 mg capsule,2015,09/24/28,Cardinal,0170-0170-70,13.07,6
0171-0171-81,Gabapentin 40 mg tablet,1113,04/23/29,Cardinal,0171-0171-81,11.74,3
0172-0172-92,Omeprazole 20 mg solution,454,01/28/28,Cardinal,0172-0172-92,6.52,9
0173-0173-03,Hydrochlorothiazide 10 mg capsule,1691,07/09/28,McKesson,0173-0173-03,1.18,6
0174-0174-14,Hydrochlorothiazide 100 mg inhaler,1641,06/16/29,Cardinal,0174-0174-14,12.06,5
0175-0175-25,Atorvastatin 50 mg solution,2018,05/05/27,McKesson,0175-0175-25,23.99,10
0176-0176-36,Levothyroxine 100 mg inhaler,584,03/23/28,AmerisourceBergen,0176-0176-36,16.33,6
0177-0177-47,Lisinopril 100 mg solution,2047,10/22/27,McKesson,0177-0177-47,12.41,7
0178-0178-58,Azithromycin 500 mg capsule,2200,04/27/29,AmerisourceBergen,0178-0178-58,2.81,6
0179-0179-69,Losartan 250 mg inhaler,1827,07/19/28,Cardinal,0179-0179-69,6.35,4
0180-0180-80,Azithromycin 50 mg capsule,672,08/18/28,AmerisourceBergen,0180-0180-80,7.4,2
0181-0181-91,Azithromycin 500 mg inhaler,617,07/12/27,McKesson,0181-0181-91,19.13,11
0182-0182-02,Fluoxetine 40 mg inhaler,324,05/04/29,AmerisourceBergen,0182-0182-02,21.92,2
0183-0183-13,Amoxicillin 500 mg solution,2073,03/30/27,McKesson,0183-0183-13,22.55,5
0184-0184-24,Albuterol 250 mg solution,1097,04/05/28,AmerisourceBergen,0184-0184-24,24.61,9
0185-0185-35,Azithromycin 100 mg capsule,766,09/30/28,Cardinal,0185-0185-35,24.56,2
0186-0186-46,Insulin Glargine 500 mg inhaler,385,03/05/29,McKesson,0186-0186-46,23.83,9
0187-0187-57,Albuterol 50 mg solution,1235,09/25/27,AmerisourceBergen,0187-0187-57,1.84,10
0188-0188-68,Sertraline 100 mg inhaler,495,11/17/27,Cardinal,0188-0188-68,3.49,9
0189-0189-79,Levothyroxine 20 mg capsule,2089,03/05/27,McKesson,0189-0189-79,7.65,4
0190-0190-90,Furosemide 500 mg inhaler,847,08/28/28,Cardinal,0190-0190-90,13.84,1
0191-0191-01,Sertraline 50 mg capsule,1114,07/21/27,McKesson,0191-0191-01,2.47,12
0192-0192-12,Amoxicillin 250 mg tablet,1651,07/20/28,McKesson,0192-0192-12,21.15,5
0193-0193-23,Amlodipine 40 mg tablet,1748,04/14/27,Cardinal,0193-0193-23,15.44,11
0194-0194-34,Omeprazole 250 mg solution,292,03/29/28,AmerisourceBergen,0194-0194-34,13.58,3
0195-0195-45,Amoxicillin 5 mg capsule,190,03/22/28,AmerisourceBergen,0195-0195-45,4.17,3
0196-0196-56,Albuterol 5 mg tablet,710,04/11/28,McKesson,0196-0196-56,6.37,11
0197-0197-67,Amoxicillin 50 mg capsule,1867,10/26/27,McKesson,0197-0197-67,4.05,13
0198-0198-78,Losartan 100 mg solution,2145,06/28/27,Cardinal,0198-0198-78,21.31,12
0199-0199-89,Clopidogrel 250 mg capsule,2430,12/05/28,McKesson,0199-0199-89,14.63,10
0200-0200-00,Amoxicillin 40 mg inhaler,684,03/29/29,McKesson,0200-0200-00,18.39,4
0201-0201-11,Prednisone 100 mg inhaler,1908,09/28/27,Cardinal,0201-0201-11,7.44,12
0202-0202-22,Fluoxetine 50 mg solution,421,03/01/28,Cardinal,0202-0202-22,9.31,9
0203-0203-33,Azithromycin 500 mg inhaler,473,05/05/27,McKesson,0203-0203-33,10.15,3
0204-0204-44,Tamsulosin 100 mg capsule,1334,06/11/27,Cardinal,0204-0204-44,19.01,2
0205-0205-55,Atorvastatin 40 mg tablet,244,12/03/27,Cardinal,0205-0205-55,19.32,12
0206-0206-66,Warfarin 500 mg tablet,83,10/04/28,McKesson,0206-0206-66,5.21,4
0207-0207-77,Tamsulosin 5 mg inhaler,2488,09/07/28,McKesson,0207-0207-77,23.54,10
0208-0208-88,Amoxicillin 500 mg inhaler,2009,10/24/28,Cardinal,0208-0208-88,3.06,2
0209-0209-99,Fluoxetine 10 mg solution,1689,04/18/27,Cardinal,0209-0209-99,22.41,4
0210-0210-10,Amoxicillin 20 mg tablet,556,03/11/27,AmerisourceBergen,0210-0210-10,2.55,4
0211-0211-21,Gabapentin 250 mg capsule,190,09/27/27,McKesson,0211-0211-21,6.65,4
0212-0212-32,Furosemide 100 mg tablet,332,11/16/27,AmerisourceBergen,0212-0212-32,21.17,9
0213-0213-43,Levothyroxine 500 mg tablet,1053,04/22/28,McKesson,0213-0213-43,4.53,12
0214-0214-54,Sertraline 100 mg tablet,2020,06/22/28,Cardinal,0214-0214-54,10.37,12
0215-0215-65,Amoxicillin 100 mg solution,1484,07/13/27,McKesson,0215-0215-65,11.27,10
0216-0216-76,Prednisone 20 mg tablet,2106,01/14/29,AmerisourceBergen,0216-0216-76,6.17,3
0217-0217-87,Losartan 5 mg inhaler,2272,11/10/28,AmerisourceBergen,0217-0217-87,17.77,13
0218-0218-98,Hydrochlorothiazide 5 mg capsule,1836,10/28/27,McKesson,0218-0218-98,21.29,8
0219-0219-09,Metformin 20 mg capsule,249,08/14/28,AmerisourceBergen,0219-0219-09,21.87,8
0220-0220-20,Atorvastatin 5 mg solution,586,10/18/27,AmerisourceBergen,0220-0220-20,8.52,10
